,Time,Src,Dest,Rate(MB)
79,2020-02-25 10:30:21,23.226.231.226,217.15.20.194,7.62939453125e-05
80,2020-02-25 10:30:23,192.168.250.50,192.168.250.1,0.0001392364501953125
81,2020-02-25 10:30:23,192.168.250.1,192.168.250.50,0.0004425048828125
82,2020-02-25 10:30:23,192.168.250.50,173.194.222.95,0.00412750244140625
83,2020-02-25 10:30:23,173.194.222.95,217.15.20.194,0.025760650634765625
84,2020-02-25 10:27:59,192.168.250.50,77.111.247.41,0.002612113952636719
85,2020-02-25 10:28:08,77.111.247.41,217.15.20.194,0.001857757568359375
86,2020-02-25 10:30:24,172.253.5.2,217.15.20.194,0.0001544952392578125
87,2020-02-25 10:30:24,192.168.250.247,172.253.5.2,0.00032806396484375
88,2020-02-25 10:30:24,74.125.41.3,217.15.20.194,0.0001544952392578125
89,2020-02-25 10:30:24,192.168.250.247,74.125.41.3,0.00032806396484375
90,2020-02-25 10:29:56,192.168.250.3,23.226.231.226,0.000293731689453125
91,2020-02-25 10:29:43,77.111.247.41,217.15.20.194,0.008855819702148438
92,2020-02-25 10:29:43,192.168.250.50,77.111.247.41,0.00269317626953125
93,2020-02-25 10:27:33,68.232.34.200,217.15.20.194,0.010829925537109377
94,2020-02-25 10:27:33,192.168.250.57,68.232.34.200,0.0026264190673828125
95,2020-02-25 10:21:44,23.226.231.226,217.15.20.194,0.00011444091796875
96,2020-02-25 10:30:11,13.232.66.4,217.15.20.194,0.00402069091796875
97,2020-02-25 10:28:30,40.114.211.99,217.15.20.194,0.007256507873535156
98,2020-02-25 10:30:11,192.168.250.27,77.74.181.18,0.0012722015380859375
99,2020-02-25 10:30:11,77.74.181.18,217.15.20.194,0.0006761550903320312
100,2020-02-25 10:30:34,192.168.250.62,192.168.250.1,0.00014495849609375
101,2020-02-25 10:30:34,192.168.250.1,192.168.250.62,0.00014495849609375
102,2020-02-25 10:30:34,23.226.231.226,217.15.20.194,7.62939453125e-05
103,2020-02-25 10:30:37,192.168.250.3,192.168.250.1,0.0001773834228515625
